code;nameja;kana;nameen;lat;lon;citycode;arv
2822130;丹波篠山市宮田;たんばささやましみやだ;Tanbasasayama City Miyada;35.09;135.17;2822100;0.8302
2822132;丹波篠山市今田町;たんばささやましこんだちょう;Tanbasasayama City Konda Town;35.00;135.11;2822100;0.5689
2822320;丹波市春日町;たんばしかすがちょう;Tanba City Kasuga Town;35.17;135.10;2822300;1.1184
2822330;丹波市柏原町;たんばしかいばらちょう;Tanba City Kaibara Town;35.13;135.08;2822300;1.1179
2822332;丹波市青垣町;たんばしあおがきちょう;Tanba City Aogaki Town;35.25;135.00;2822300;1.0339
2821832;小野市王子町;おのしおうじちょう;Ono City Oji Town;34.85;134.93;2821800;1.0298
2822334;丹波市市島町;たんばしいちじまちょう;Tanba City Ichijima Town;35.21;135.14;2822300;0.8879
2820300;明石市中崎;あかししなかさき;Akashi City Nakasaki;34.64;135.00;2820300;0.0000
2811130;神戸西区竹の台;こうべにしくたけのだい;Kobe Nishi Ward Takenodai;34.71;135.01;2811100;0.9933
2820933;豊岡市日高町;とよおかしひだかちょう;Toyoka City Hidaka Town;35.47;134.77;2820900;1.3130
2820934;豊岡市但東町;とよおかしたんとうちょう;Toyoka City Tanto Town;35.47;134.95;2820900;0.5689
2820935;豊岡市城崎町;とよおかしきのさきちょう;Toyoka City Kinosaki Town;35.63;134.81;2820900;1.7490
2820937;豊岡市竹野町;とよおかしたけのちょう;Toyoka City Takeno Town;35.65;134.76;2820900;1.7490
2820938;豊岡市中央町;とよおかしちゅうおうちょう;Toyoka City Chuuo Town;35.54;134.825;2820900;1.9397
2822220;養父市大屋町;やぶしおおやちょう;Yabu City Oya Town;35.33;134.66;2822200;0.5689
2822230;養父市八鹿町;やぶしようかちょう;Yabu City Yoka Town;35.40;134.77;2822200;0.5689
2822231;養父市広谷;やぶしひろたに;Yabu City Hirotani;35.38;134.78;2822200;1.1888
2822233;養父市関宮;やぶしせきのみや;Yabu City Sekinomiya;35.37;134.65;2822200;0.5689
2858500;兵庫香美町香住区三川;ひょうごかみちょうかすみくみかわ;Hyogo Kami Town Kasumi Ward Mikawa;35.59;134.66;2858500;1.0513
2858520;兵庫香美町香住区香住;ひょうごかみちょうかすみくかすみ;Hyogo Kami Town Kasumi Ward Kasumi;35.64;134.63;2858500;1.4425
2858521;兵庫香美町村岡区神坂;ひょうごかみちょうむらおかくかんざか;Hyogo Kami Town Muraoka Ward Kanzaka;35.46;134.58;2858500;0.6689
2858532;兵庫香美町小代区;ひょうごかみちょうおじろく;Hyogo Kami Town Ojiro Ward;35.46;134.53;2858500;0.8125
2822500;朝来市和田山町枚田;あさごしわだやまちょうひらた;Asago City Wadayama Town Hirata;35.32;134.85;2822500;1.0800
2820230;尼崎市昭和通;あまがさきししょうわどおり;Amagasaki City Showadori;34.72;135.42;2820200;2.0464
2822520;朝来市生野町;あさごしいくのちょう;Asago City Ikuno Town;35.15;134.79;2822500;0.9069
2822530;朝来市山東町;あさごしさんとうちょう;Asago City Santo Town;35.31;134.88;2822500;1.1237
2822531;朝来市新井;あさごしにい;Asago City Nii;35.24;134.80;2822500;0.5689
2858620;新温泉町浜坂;しんおんせんちょうはまさか;Shin Onsen Chohamasaka;35.62;134.45;2858600;1.8484
2858631;新温泉町湯;しんおんせんちょうゆ;Shin Onsen Choyu;35.55;134.49;2858600;0.6689
2810130;神戸東灘区住吉東町;こうべひがしなだくすみよしひがしまち;Kobe Higashinada Ward Sumiyoshi Higashi Town;34.72;135.27;2810100;1.3077
2810230;神戸灘区八幡町;こうべなだくやはたちょう;Kobe Nada Ward Yahata Town;34.72;135.23;2810200;0.8757
2810520;神戸兵庫区烏原町;こうべひょうごくからすはらちょう;Kobe Hyogo Ward Karasuhara Town;34.69;135.16;2810500;0.8943
2810530;神戸兵庫区上沢通;こうべひょうごくかみさわどおり;Kobe Hyogo Ward Kamisawadori;34.68;135.17;2810500;1.3382
2810630;神戸長田区神楽町;こうべながたくかぐらちょう;Kobe Nagata Ward Kagura Town;34.66;135.15;2810600;1.9397
2810730;神戸須磨区若草町;こうべすまくわかくさちょう;Kobe Suma Ward Wakakusa Town;34.69;135.11;2810700;0.9242
2810831;神戸垂水区王居殿;こうべたるみくおういでん;Kobe Tarumi Ward Ouiden;34.63;135.07;2810800;0.9843
2810930;神戸北区南五葉;こうべきたくみなみごよう;Kobe Kita Ward Minamigoyo;34.72;135.13;2810900;1.0430
2810931;神戸北区藤原台南町;こうべきたくふじわらだいみなみまち;Kobe Kita Ward Fujiwaradai Minami Town;34.81;135.21;2810900;0.8176
2811001;神戸中央区脇浜;こうべちゅうおうくわきのはま;Kobe Chuuo Ward Wakinohama;34.70;135.21;2811000;1.3410
2822521;朝来市和田山町柳原;あさごしわだやまちょうやなぎはら;Asago City Wadayama Town Yanagihara;35.34;134.86;2822500;1.0822
2920930;生駒市東新町;いこましひがししんまち;Ikoma City Higashishin Town;34.69;135.70;2920900;0.9753
2822335;丹波市氷上町;たんばしひかみちょう;Tanba City Hikami Town;35.18;135.04;2822300;1.0814
2836533;多可町加美区;たかちょうかみく;Taka Town Kami Ward;35.10;134.90;2836500;0.9942
2822933;たつの市御津町;たつのしみつちょう;Tatsuno City Mitsu Town;34.79;134.56;2822900;0.5689
2844631;兵庫神河町寺前;ひょうごかみかわちょうてらまえ;Hyogo Kamikawa Town Teramae;35.06;134.74;2844600;0.5689
2844632;兵庫神河町新田;ひょうごかみかわちょうしんでん;Hyogo Kamikawa Town Shinden;35.17;134.88;2844600;0.5689
2820501;洲本市物部;すもとしものべ;Sumoto City Monobe;34.34;134.88;2820500;1.7490
2820520;洲本市五色町都志;すもとしごしきちょうつし;Sumoto City Goshiki Town Tsushi;34.41;134.79;2820500;1.5147
2820521;洲本市山手;すもとしやまて;Sumoto City Yamate;34.34;134.90;2820500;1.4425
2822401;南あわじ市福良;みなみあわじしふくら;Minamiawaji City Fukura;34.26;134.71;2822400;1.2684
2822420;南あわじ市北阿万;みなみあわじしきたあま;Minamiawaji City Kitaama;34.25;134.73;2822400;0.9374
2822430;南あわじ市広田;みなみあわじしひろた;Minamiawaji City Hirota;34.32;134.83;2822400;0.9527
2822433;南あわじ市市;みなみあわじしいち;Minamiawaji City Ichi;34.29;134.77;2822400;1.0351
2822434;南あわじ市湊;みなみあわじしみなと;Minamiawaji City Minato;34.32;134.73;2822400;0.9981
2822602;淡路市長澤;あわじしながさわ;Awaji City Nagasawa;34.49;134.90;2822600;0.9591
2822603;淡路市富島;あわじしとしま;Awaji City Toshima;34.55;134.93;2822600;1.4761
2822620;淡路市久留麻;あわじしくるま;Awaji City Kuruma;34.53;134.99;2822600;1.7490
2822931;たつの市揖保川町;たつのしいぼがわちょう;Tatsuno City Ibogawa Town;34.83;134.53;2822900;1.3506
2822632;淡路市郡家;あわじしぐんげ;Awaji City Gunge;34.47;134.85;2822600;1.7490
2822634;淡路市岩屋;あわじしいわや;Awaji City Iwaya;34.59;135.02;2822600;1.4761
2920102;奈良市西紀寺町;ならしにしきでらちょう;Nara City Nishikidera Town;34.67;135.83;2920100;1.1482
2920131;奈良市月ヶ瀬尾山;ならしつきがせおやま;Nara City Tsukigaseoyama;34.71;136.04;2920100;0.5689
2920133;奈良市二条大路南;ならしにじょうおおじみなみ;Nara City Nijouojiminami;34.69;135.81;2920100;1.9587
2920134;奈良市都祁白石町;ならしつげしらいしちょう;Nara City Tsugeshiraishi Town;34.61;135.96;2920100;0.9003
2920220;大和高田市野口;やまとたかだしのぐち;Yamatotakada City Noguchi;34.52;135.72;2920200;1.1891
2920231;大和高田市大中;やまとたかだしおおなか;Yamatotakada City Onaka;34.52;135.74;2920200;2.0351
2920330;大和郡山市北郡山町;やまとこおりやましきたこおりやまちょう;Yamatokoriyama City Kitakoriya Town;34.65;135.78;2920300;1.0617
2920431;天理市川原城町;てんりしかわはらじょうちょう;Tenri City Kawaharajo Town;34.60;135.84;2920400;1.1658
2920531;橿原市八木町;かしはらしやぎちょう;Kashihara City Yagi Town;34.51;135.79;2920500;1.9776
2920601;桜井市初瀬;さくらいしはせ;Sakurai City Hase;34.53;135.90;2920600;0.5689
2920632;桜井市粟殿;さくらいしおおどの;Sakurai City Odono;34.52;135.84;2920600;1.9680
2920732;五條市大塔町辻堂;ごじょうしおおとうちょうつじどう;Gojo City Oto Town Tsujido;34.17;135.76;2920700;0.5689
2920734;五條市岡口;ごじょうしおかぐち;Gojo City Okaguchi;34.36;135.70;2920700;0.8735
2822633;淡路市志筑;あわじししづき;Awaji City Shizuki;34.44;134.90;2822600;0.9640
2822336;丹波市山南町;たんばしさんなんちょう;Tanba City Sannan Town;35.07;135.04;2822300;0.5689
2822930;たつの市新宮町;たつのししんぐうちょう;Tatsuno City Shingu Town;34.93;134.55;2822900;1.1225
2822735;宍粟市千種町;しそうしちくさちょう;Shiso City Chikusa Town;35.15;134.45;2822700;0.6689
2836534;多可町八千代区;たかちょうやちよく;Taka Town Yachiyo Ward;35.01;134.91;2836500;0.5689
2836535;多可町中区;たかちょうなかく;Taka Town Naka Ward;35.05;134.92;2836500;1.1257
2822801;加東市社;かとうしやしろ;Kato City Yashiro;34.92;134.97;2822800;1.0069
2822832;加東市河高;かとうしこうたか;Kato City Kotaka;34.93;134.94;2822800;0.8907
2822833;加東市天神;かとうしてんじん;Kato City Tenjin;34.91;135.07;2822800;1.1187
2820100;姫路市神子岡前;ひめじしみこおかまえ;Himeji City Mikokamae;34.84;134.67;2820100;1.2859
